,index,0,1,2,3,4,5,6,7,8,9,10,11
0,month,January,February,March,April,May,June,July,August,September,October,November,December
1,2019,24859.645161290322,28506.10714285714,27725.83870967742,30702.033333333333,33067.290322580644,31954.7,32132.548387096773,30929.612903225807,29598.633333333335,26599.064516129034,26599.833333333332,20206.25806451613
2,2020,25010.967741935485,23369.03448275862,18803.225806451614,22926.9,37056.967741935485,37286.166666666664,35160.8064516129,31549.74193548387,34123.23333333333,28305.483870967742,26520.7,21751.0
3,2021,13267.15,17560.0,13616.0,10374.0,9566.0,12382.0,12593.0,11387.0,19696.0,13796.0,11687.0,11761.0
